Record Id,Lead Owner Id,Company,First Name,Last Name,Full Name,Title,Email,Phone,Fax,Mobile,Website,Lead Source,Lead Status,Industry,No. of Employees,Annual Revenue,Rating,Campaign Source Id,Email Opt Out,Skype Id,Created By Id,Modified By Id,Created Time,Modified Time,Salutation,Secondary Email,Currency,Exchange Rate,Last Activity Time,Twitter,Layout Id,Tag,Street,City,State,Zip Code,Country,Description,Score,Positive Score,Negative Score,Touch Point Score,Positive Touch Point Score,Negative Touch Point Score,Lead Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Converted Date Time,Record Approval Status,Is Record Duplicate,Lead Conversion Time,Unsubscribed Mode,Unsubscribed Time,Converted Account Id,Converted Contact Id,Converted Deal Id,Change Log Time,Is Converted,Locked,Last Enriched Time,Enrich Status
zcrm_404427000000249401,zcrm_404427000000247001,Creative Business Systems,Chau,Kitzman (Sample),Chau Kitzman (Sample),Junior Executive,chau-kitzman@gmail.com,555-555-5555,,555-555-5555,http://www.bentonjohnbjr.com,Advertisement,Attempted to Contact,ERP,,100000.0,,,false,chau-kitzman,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:57,Mr.,,,,2022-10-13 16:42:27,chaukitzman_sample,zcrm_404427000000000167,,6649 N Blue Gum St,New Orleans,LA,70116,United States,,0,0,0,0,0,0,tndgdf6381ba210c64d8284bae7af6ac809cc.png,2022-10-13 16:42:57,,2022-10-13 16:42:27,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249402,zcrm_404427000000247001,Dal Tile Corporation,Theola,Frey (Sample),Theola Frey (Sample),Mechanical Systems Engineer,theola-frey@frey.com,555-555-5555,,555-555-5555,http://www.chanayjeffreyaesq.com,Cold Call,Contact in Future,Management ISV,,200000.0,,,false,theola-frey,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:57,Ms.,,,,2022-10-13 16:42:57,theolafrey_sample,zcrm_404427000000000167,,4 B Blue Ridge Blvd,Brighton,MI,48116,United States,,0,0,0,0,0,0,tndgd12db24f8f2a043ecb6fde78ad1f1485e.png,2022-10-13 16:42:57,,2022-10-13 16:42:26,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249403,zcrm_404427000000247001,Buckley Miller & Wright,Michael,Ruta (Sample),Michael Ruta (Sample),Computer Systems Analyst II,michael-gruta@cox.net,555-555-5555,,555-555-5555,http://www.buckleymillerwright.com,Online Store,Attempted to Contact,MSP (Management Service Provider),,850000.0,,,false,michael-gruta,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Mr.,,,,2022-10-13 16:42:58,michaelgruta_sample,zcrm_404427000000000167,,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,United States,,0,0,0,0,0,0,tndgd13d4b4fa9e3749b8b09507a04d9aa464.png,2022-10-13 16:42:58,,2022-10-13 16:42:26,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249404,zcrm_404427000000247001,Grayson,Yvonne,Tjepkema (Sample),Yvonne Tjepkema (Sample),Office Assistant III,yvonne-tjepkema@hotmail.com,555-555-5555,,555-555-5555,http://www.feltzprintingservice.com,External Referral,Pre-Qualified,Government/Military,,170000.0,,,false,yvonne-tjepkema,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Ms.,,,,2022-10-13 16:42:58,yvonnetjepkema_sample,zcrm_404427000000000167,,639 Main St,Anchorage,AK,99501,United States,,0,0,0,0,0,0,tndgdeb133b68e80d468f86d445c895388d13.png,2022-10-13 16:42:58,,,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249405,zcrm_404427000000247001,Printing Dimensions,Kayleigh,Lace (Sample),Kayleigh Lace (Sample),Cost Accountant,kayleigh-lace@yahoo.com,555-555-5555,,555-555-5555,http://www.printingdimensions.com,Partner,Not Contacted,Optical Networking,,270000.0,,,false,kayleigh-lace,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Ms.,,,,2022-10-13 16:42:58,kayleighlace_sample,zcrm_404427000000000167,,34 Center St,Hamilton,OH,45011,United States,,0,0,0,0,0,0,tndgd9340297b6ef14f0bb1c6f3dc44bc5434.png,2022-10-13 16:42:58,,,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249406,zcrm_404427000000247001,Chapman,Felix,Hirpara (Sample),Felix Hirpara (Sample),Computer Systems Analyst I,felix-hirpara@cox.net,555-555-5555,,555-555-5555,http://www.chapmanrosseesq.com,Online Store,Attempted to Contact,Non-management ISV,,230000.0,,,false,felix-hirpara,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Mr.,,,,2022-10-13 16:42:58,felixhirpara_sample,zcrm_404427000000000167,,3 Mcauley Dr,Ashland,OH,44805,United States,,0,0,0,0,0,0,tndgd2bf7d8c49d7c42e5be39d970d6798c3c.png,2022-10-13 16:42:58,,,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249407,zcrm_404427000000247001,Morlong Associates,Tresa,Sweely (Sample),Tresa Sweely (Sample),Executive Secretary,tresa-sweely@hotmail.com,555-555-5555,,555-555-5555,http://www.morlongassociates.com,Seminar Partner,Contacted,Storage Equipment,,190000.0,,,false,tresa-sweely,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Ms.,,,,2022-10-13 16:42:58,tresasweely_sample,zcrm_404427000000000167,,7 Eads St,Chicago,IL,60632,United States,,0,0,0,0,0,0,tndgdd85a480cb9b64d938f7778048edf7786.png,2022-10-13 16:42:58,,,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249408,zcrm_404427000000247001,Kwik Kopy Printing,James,Merced (Sample),James Merced (Sample),Biostatistician I,james-merced@gmail.com,555-555-5555,,555-555-5555,http://www.commercialpress.com,Web Download,Lost Lead,Large Enterprise,,650000.0,,,false,james-merced,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Mr.,,,,2022-10-13 16:42:58,jamesmerced_sample,zcrm_404427000000000167,,7 W Jackson Blvd,San Jose,CA,95111,United States,,0,0,0,0,0,0,tndgdd6ed1d47c0f34ae997f88fe31a02e5e0.png,2022-10-13 16:42:58,,,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249409,zcrm_404427000000247001,Oh My Goodknits Inc,Carissa,Kidman (Sample),Carissa Kidman (Sample),Director of Sales,carissa-kidman@yahoo.com,555-555-5555,,555-555-5555,http://www.truhlarandtruhlarattys.com,Advertisement,Contact in Future,Data/Telecom OEM,,200000.0,,,false,carissa-kidman,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:58,Ms.,,,,2022-10-13 16:42:58,carissakidman_sample,zcrm_404427000000000167,,5 Boston Ave #88,Sioux Falls,SD,57105,United States,,0,0,0,0,0,0,tndgdc1d44b03fa6b4f78b4952410b1fc1fb4.png,2022-10-13 16:42:58,,,,,1,false,,,,,,,,false,false,,
zcrm_404427000000249410,zcrm_404427000000247001,Rangoni Of Florence,Christopher,Maclead (Sample),Christopher Maclead (Sample),VP Accounting,christopher-maclead@gmail.com,555-555-5555,,555-555-5555,http://www.rangoniofflorence.com,Cold Call,Lost Lead,Service Provider,,850000.0,,,false,christopher-maclead,zcrm_404427000000247001,zcrm_404427000000247001,2022-10-13 16:42:26,2022-10-13 16:42:59,Mr.,,,,2022-10-13 16:42:59,christophermaclead_sample,zcrm_404427000000000167,,37275 St Rt 17m M,Middle Island,NY,11953,United States,,0,0,0,0,0,0,tndgdeff2b293b2d541eeb4ef986bb78cc1f4.png,2022-10-13 16:42:59,,,,,1,false,,,,,,,,false,false,,
